"Chicken" "Alpaca" "Anole_Lizard" "Armadillo" "Bushbaby" "celegans" "Cat" "chimp"
"Chicken" 0 0.560406698564593 0.652511961722488 0.671650717703349 0.627392344497608 0.663277511961722 0.578349282296651 0.596291866028708
"Alpaca" 0.560406698564593 0 0.617822966507177 0.582535885167464 0.450358851674641 0.568181818181818 0.244019138755981 0.315789473684211
"Anole_Lizard" 0.652511961722488 0.617822966507177 0 0.688995215311005 0.65011961722488 0.694377990430622 0.63755980861244 0.642942583732057
"Armadillo" 0.671650717703349 0.582535885167464 0.688995215311005 0 0.596291866028708 0.627392344497608 0.560406698564593 0.584928229665072
"Bushbaby" 0.627392344497608 0.450358851674641 0.65011961722488 0.596291866028708 0 0.601076555023923 0.444377990430622 0.508971291866029
"celegans" 0.663277511961722 0.568181818181818 0.694377990430622 0.627392344497608 0.601076555023923 0 0.594497607655502 0.58433014354067
"Cat" 0.578349282296651 0.244019138755981 0.63755980861244 0.560406698564593 0.444377990430622 0.594497607655502 0 0.29066985645933
"chimp" 0.596291866028708 0.315789473684211 0.642942583732057 0.584928229665072 0.508971291866029 0.58433014354067 0.29066985645933 0
