probeId	ensemblId	geneSymbol	plus	minus	AveExpr	F	P.Value	adj.P.Val
31	Gga.4171.1.S1_at	ENSGALG00000004259	BLMH	10.3947701906039	10.3348416335521	10.364805912078	5933.62848899357	4.45741668219024e-17	1.40834698507332e-14
32	Gga.4188.1.S1_s_at	ENSGALG00000009728	SLC25A13	10.0620989887156	9.79443558454994	9.92826728663279	5686.00638384217	5.60336631263524e-17	1.40834698507332e-14
33	Gga.4299.1.S1_at	ENSGALG00000001992	PKM2	11.3128207712199	11.4075908832625	11.3602058272412	5684.5584285557	5.61103110117702e-17	1.40834698507332e-14
34	Gga.4312.1.S1_at	ENSGALG00000028872	TPT1	11.5367006095077	11.5668217639895	11.5517611867486	6825.6720511011	2.10178226119388e-17	1.40834698507332e-14
35	Gga.4372.1.S1_s_at	NA	TPM3	10.973068197301	11.1226097569217	11.0478389771114	5763.26741254577	5.21181639261039e-17	1.40834698507332e-14
36	Gga.4390.4.S1_s_at	ENSGALG00000007220	FTH1	11.9730514360401	12.0454787234073	12.0092650797237	7779.7296734912	1.04126861537036e-17	1.40834698507332e-14
37	Gga.4547.1.S1_at	ENSGALG00000001183	MYH10	10.9826463317224	10.9752641538846	10.9789552428035	6384.98150915326	3.00733464441869e-17	1.40834698507332e-14
38	Gga.4572.1.S1_a_at	ENSGALG00000027035	RPL21	11.6368221855529	11.6758651290103	11.6563436572816	6197.83021891353	3.52803314631616e-17	1.40834698507332e-14
39	Gga.4580.1.S1_s_at	ENSGALG00000008684	EIF4A2	10.4127715141243	10.261987765342	10.3373796397332	5503.23694340656	6.67735304436844e-17	1.40834698507332e-14
40	Gga.4593.2.S1_at	ENSGALG00000003912	CAP1	10.0533091880382	10.2767553118319	10.165032249935	6048.64055296272	4.02098170806558e-17	1.40834698507332e-14
41	Gga.4644.1.S1_a_at	NA	NA	10.8875749682915	11.1046248041691	10.9960998862303	5805.60494744547	5.01104070110678e-17	1.40834698507332e-14
42	Gga.4686.1.S1_a_at	ENSGALG00000016392	RPS7	11.665265046812	11.6628013689518	11.6640332078819	6169.23281687524	3.61670980318714e-17	1.40834698507332e-14
43	Gga.4687.1.S1_at	ENSGALG00000003971	RPL11	12.0175728472682	12.0173995055902	12.0174861764292	6639.73640259745	2.43767041816916e-17	1.40834698507332e-14
44	Gga.469.2.S1_at	NA	NA	10.993318070701	10.9183926540943	10.9558553623976	5346.2458768032	7.79944426732983e-17	1.40834698507332e-14
45	Gga.4729.1.S1_a_at	ENSGALG00000009829	RPL18A	11.7155092683919	11.7607698359187	11.7381395521553	7449.68400712587	1.31411734810185e-17	1.40834698507332e-14
46	Gga.4740.1.S1_at	ENSGALG00000004442	PPA1	10.6892782524398	10.6575358326764	10.6734070425581	5502.61429766431	6.68140926150295e-17	1.40834698507332e-14
47	Gga.4847.1.S1_x_at	ENSGALG00000002197	NPM1	11.3611664475748	11.3509708586422	11.3560686531085	5906.76338306187	4.567318193472e-17	1.40834698507332e-14
48	Gga.4873.1.S1_a_at	ENSGALG00000009070	HSPE1	11.2828800981094	11.2952895920531	11.2890848450813	6217.47898329649	3.46859814202415e-17	1.40834698507332e-14
49	Gga.4895.1.S1_s_at	ENSGALG00000008667	DSTN	11.4776849547779	11.5622836613711	11.5199843080745	6514.62600537376	2.69973617515812e-17	1.40834698507332e-14
50	Gga.4951.3.S1_a_at	ENSGALG00000016198	U2AF1	11.1016094884374	11.0452746099552	11.0734420491963	5823.36488896426	4.92955831254462e-17	1.40834698507332e-14
51	Gga.4963.2.S1_a_at	ENSGALG00000003806	RHOA	10.7099708872831	10.7364305577424	10.7232007225128	5782.29825313308	5.12040863058043e-17	1.40834698507332e-14
52	Gga.5204.2.S1_a_at	ENSGALG00000010243	PRDX1	11.4682855780457	11.4728693734296	11.4705774757376	6261.98906152087	3.33829713927947e-17	1.40834698507332e-14
53	Gga.5381.1.S1_at	ENSGALG00000003265	PTP4A2	11.3802463758823	11.3540181400442	11.3671322579633	6441.77352490759	2.86772934867827e-17	1.40834698507332e-14
54	Gga.5435.2.S1_a_at	ENSGALG00000007574	RRAGB	10.9065458958167	10.9322376626475	10.9193917792321	5834.78837054795	4.87797774981784e-17	1.40834698507332e-14
55	Gga.5435.3.S1_x_at	ENSGALG00000007574	RRAGB	10.8635632882651	10.8460330928128	10.8547981905389	6028.09734917338	4.09508330430294e-17	1.40834698507332e-14
56	Gga.5472.1.S1_at	ENSGALG00000003597	AK2	10.6752360256805	10.7583606640844	10.7167983448825	6322.13149891069	3.17133673461386e-17	1.40834698507332e-14
57	Gga.5884.1.S1_s_at	ENSGALG00000007153	LOC427708	10.9247641267841	11.1176838837066	11.0212240052453	5493.77648400981	6.73929942304399e-17	1.40834698507332e-14
58	Gga.5887.1.S1_at	ENSGALG00000002606	CLSTN1	10.7251400957755	10.5692089807102	10.6471745382429	5976.52881528997	4.28834981433682e-17	1.40834698507332e-14
59	Gga.5919.2.S1_a_at	ENSGALG00000011020	CYCS	10.6740830644831	10.7992166775675	10.7366498710253	5581.62876037171	6.18921531183664e-17	1.40834698507332e-14
60	Gga.6224.1.S1_a_at	ENSGALG00000001465	RPL38	11.5397176706636	11.6188853653854	11.5793015180245	6032.2778324652	4.07987344164589e-17	1.40834698507332e-14
61	Gga.6224.2.S1_x_at	ENSGALG00000001465	RPL38	11.3730619739282	11.4977373752886	11.4353996746084	7013.40402391462	1.81690617427861e-17	1.40834698507332e-14
62	Gga.6908.1.A1_x_at	NA	NA	11.2412104399551	11.3384554642101	11.2898329520826	5783.75951552373	5.11346892381841e-17	1.40834698507332e-14
63	Gga.7030.1.S1_at	ENSGALG00000010088	RALGAPA1	10.4188601276753	10.3422204887576	10.3805403082164	5660.22897654019	5.74169872995762e-17	1.40834698507332e-14
64	Gga.7088.1.S1_at	NA	NA	10.996240877984	10.8782452357189	10.9372430568515	5621.99665622959	5.9544042747693e-17	1.40834698507332e-14
65	Gga.7496.1.A1_s_at	NA	NA	10.1983798585062	10.3998633203712	10.2991215894387	5439.41273033067	7.10877631020367e-17	1.40834698507332e-14
66	Gga.7559.1.S1_at	NA	C15ORF15	10.0535950576541	10.3703041528208	10.2119496052375	5938.97026298355	4.43593970652597e-17	1.40834698507332e-14
67	Gga.7926.1.S1_at	NA	NA	10.108510887603	10.4109905409024	10.2597507142527	5528.25642148349	6.51675441501879e-17	1.40834698507332e-14
68	Gga.8334.1.S1_at	ENSGALG00000003189	NFYC	10.6991195283361	10.8664681678387	10.7827938480874	5333.13034828045	7.90294039559183e-17	1.40834698507332e-14
69	Gga.8548.3.S1_s_at	ENSGALG00000010570	BTF3L4	10.8972165578065	10.9537152193659	10.9254658885862	5830.27865609325	4.89826366758156e-17	1.40834698507332e-14
70	Gga.8820.1.S1_s_at	ENSGALG00000019316	TOMM22	11.1272173923483	11.0547634786746	11.0909904355114	5494.21330313485	6.73642419431461e-17	1.40834698507332e-14
71	Gga.8929.1.S1_at	ENSGALG00000026108	ATP5D	11.1408202196165	11.3588830431806	11.2498516313986	6252.71806313726	3.36495207529577e-17	1.40834698507332e-14
72	Gga.9079.1.S1_at	NA	NA	10.79306649843	10.8020152399759	10.797540869203	5864.51831742698	4.74671020063582e-17	1.40834698507332e-14
73	Gga.9087.1.S1_at	NA	LOC395160	11.7448816665267	11.7578563585317	11.7513690125292	7436.14695848746	1.32701127330399e-17	1.40834698507332e-14
74	Gga.9329.1.S1_at	ENSGALG00000011570	ILF2	10.8557674029598	11.058194682075	10.9569810425174	5984.80648510523	4.25660973881758e-17	1.40834698507332e-14
75	Gga.9608.1.S1_at	ENSGALG00000007273	HSPA4	10.6397036398929	10.7319553092177	10.6858294745553	5394.29387242749	7.43377582848822e-17	1.40834698507332e-14
76	GgaAffx.11520.1.S1_s_at	ENSGALG00000003959	AP1M1	11.0069934990891	10.8999727216247	10.9534831103569	5553.19475819445	6.36121575057189e-17	1.40834698507332e-14
77	GgaAffx.11586.1.S1_at	ENSGALG00000010235	DDX19B	10.7123163848895	10.8112176097731	10.7617669973313	5966.91513900701	4.32556573555802e-17	1.40834698507332e-14
78	GgaAffx.11739.1.S1_s_at	ENSGALG00000012225	CIRBP	10.6108371854277	10.582085089931	10.5964611376793	5521.76171660552	6.55799908606143e-17	1.40834698507332e-14
79	GgaAffx.11957.1.S1_s_at	ENSGALG00000000377	HNRNPM	11.5090906807622	11.5516105746155	11.5303506276888	7049.47245850951	1.76755693700654e-17	1.40834698507332e-14
80	GgaAffx.11986.1.S1_s_at	ENSGALG00000004375	VPS35	10.8709094612644	10.8647159523094	10.8678127067869	5508.27814352473	6.64461954988623e-17	1.40834698507332e-14
81	GgaAffx.12179.1.S1_at	ENSGALG00000001658	RPL19	11.9575368335666	11.9043237968115	11.9309303151891	7409.29526894049	1.35303410885636e-17	1.40834698507332e-14
82	GgaAffx.12395.1.S1_s_at	ENSGALG00000012172	RPL3	11.6527449211107	11.7264837993625	11.6896143602366	7232.07588457515	1.54081834619389e-17	1.40834698507332e-14
83	GgaAffx.12430.1.S1_s_at	ENSGALG00000012946	FAM60A	10.5102975102151	10.3755731956649	10.44293535294	5970.90449471881	4.31007605044926e-17	1.40834698507332e-14
84	GgaAffx.12549.1.S1_s_at	ENSGALG00000019702	HIGD1A	10.4484350808923	10.2780984788177	10.363266779855	5369.43145301762	7.62038976238703e-17	1.40834698507332e-14
85	GgaAffx.12678.1.S1_at	NA	SRSF6	10.2264066792186	10.1961723370174	10.211289508118	5700.32138886317	5.52825391984473e-17	1.40834698507332e-14
